TweetID,Text
1.22874e+18,"AIPAC should be registered as a foreign agent meddling in US elections.

American Israel Political Action Committee.

It is interfering in the US electoral process and should be put on trial and it's leaders imprisoned.  @benshapiro @charliekirk11 https://t.co/ebO4iPUah8"
1.23955e+18,"RT @qiss0rkid: go to israel pls , we don't need you"
1.21656e+18,"The world, including Canada, has given Israel a green light to take Palestinian land, destroy Palestinian homes, and strengthen a system of #Apartheid. Shame on us!"
1.21712e+18,"These children avoid walking over the US &amp; Israel flags. Supposedly, this is a generation which was taught to hate America &amp; Israel, but it is the opposite!
Iranians seek freedom, peace &amp; a dignified life unlike the oppressive Iranian regime.
WHY IS THE MEDIA PRO IRAN REGIME??? https://t.co/ym3Zt8jlfy"
1.23226e+18,RT @IDF: The last 24 hours in Israel: https://t.co/0YNwvMsYvL
1.22403e+18,@stranahan KnowMoreNews isn't confident enough to debate me that Jesuits control Israel not Jews https://t.co/rAFfEKOsLo
1.24238e+18,"""[Even] an heritage unto Israel his servant: for his mercy [endureth] for ever."" ~Psalms 136:22 #Bible #Poetry #God"
1.22468e+18,"Opinion: No One in Israel Knew They Were Committing a Massacre, and They Didn't Care

Gideon Levy
https://t.co/2Itgo9cuTE"
1.21428e+18,"https://t.co/LTB0zidzM9 When #TheCloudOfGod appeared in the days of Moses,  He took the children of Israel from Egypt to the Canaan through tremendous judgement of the Egyptians. GOD is coming back to judge SIN again."
1.23973e+18,Smokers appear to be at higher risk from coronavirus - expert | The Times of Israel https://t.co/HgKQ8M7cJr
1.21573e+18,"RT @SebGorka: So @IlhanMN hates Israel and defends Iran. 

   Now do you understand??"
1.25539e+18,"The #Danish Bible Society has removed dozens of references to 'Israel' from translations of the Hebrew Bible and the New Testament.

No one can rewrite history and delete #Israel from history. Israel is here yo stay, whether they like it or not. https://t.co/aeUx1paEUU"
1.23023e+18,CBS News: 'How Jewish American Pedophiles Hide From Justice in Israel' https://t.co/6ZKY4SaKTi https://t.co/3n7FgrgkZB
1.21475e+18,"The Democrat Party reached a new low. In a vicious attack against Israel that was full of lies, Rep. Rashida Tlaib actually wore the jihad war scarf (keffiyeh) on the floor of the House of Representatives. 

Is this is being reported by our non-biased media? ?? https://t.co/JmbWt8B0Cg"
1.24663e+18,"@bismofunyunsss @jlineberry @BernieSanders How did Mose knew to arrange the children of Israel in the form of a cross in Numbers ? 

Also 

And Moses made a serpent of brass, and put it upon a pole, and it came to pass, that if a serpent had bitten any man, when he beheld the serpent of brass, he lived
Numbers 21:9 KJV?? https://t.co/rVr6xjIfbv"
1.22261e+18,"@JoAnn54819331 @JB62154 @SexCounseling @RobertRLOCKLEA5 @dbongino @MittRomney @lisamurkowski @SenatorCollins Israel has been destroying Palestinians and stealing their land for DECADES. The USA is drilling oil in PALESTINE, thats theft! They are INVADING another country...Remember Poland?"
1.23213e+18,"Stunning how gratuitously and galactically stupid Sanders attack on AIPAC, Israel, defense of Castro are. What's the point? Satisfying his base? Ideological conviction? Either way, shape of things to come. https://t.co/kSsUcQt9DW"
1.22407e+18,@FrankPercival @YorkshireLady3 Leave my timeline you re a Marxist and anti Israel
1.24563e+18,#BREAKING: Israel PM Netanyahu entered self-quarantine until next Wednesday
1.21696e+18,RT @AnnieBWansford: I love visiting new countries and on the list now is Israel. After a few hours I love Tel Aviv https://t.co/LCKJXPmvAN
1.24729e+18,"Beautiful to see Christians and Jews come together to help the impoverished in Israel.

https://t.co/g6MxRhVq1N"
1.25318e+18,@AR26389717 A massive number of people in Bani Israel were doing bukwas ALLAH did it to shut their mouth
1.21791e+18,"@Rachael_Swindon @knightrgb I agree however there are many people who say it is antisemetic to challenge the Israeli government at all,its a word used to often now by people who don t understand it. It s antisemetic to challenge the existence of the Jewish community and it s people not a governments action"
1.24777e+18,"@GerrySimpsonHRW @hrw Israel isn t occupying Gaza, and there s no blockade on medical supplies. Nor is Israel responsible for Hamas  decision to prioritize terror tunnels and rockets over the health care system in Gaza."
1.23884e+18,This is so stupid that Israel is also almost out of toilet paper in our stores bc we make it here not in China people are so f dumb
1.23109e+18,Protection is very needed by all in these times especially the children of Israel. Satan is lurking at an all time high for the Righteous especially because most of the world has turned to a reprobated mind which means their souls are already his to say the VERY LEAST.
1.2211e+18,"???? Israel Gym ???? 

? Latias ?

Gym : Don Quixote 
City : Ramat Gan 
Team : ??
Time : xx:31

32.050971,34.776826
#ExPassGym
#PokemonGo"
1.23199e+18,"#BREAKING: An Israeli mother is taking cover with her son as at least 20 rockets were fired at Southern Israel right now. #Gaza 

Please pray ?? https://t.co/X0RiugUdHm"
1.21319e+18,"Iran lied to America and the west

Iran funds terror against America and Israel

Why did Obama and Biden send them $1 billion in CASH?

Did they get anything in return?

Why is John Kerry allowed to secretly negotiate in defiance of the Logan Act?

Investigate these ties to Iran!"
1.23303e+18,Ive never been more ashamed to say i ever supported israel.
1.23473e+18,@mrbesseder @BDS_Australia Hey hey bibi win... and viva bib am israel hai
1.21797e+18,@regretjap123 @RomanticDesert @BowlClogger69 Diaspora Boy vs Israel man https://t.co/wkgI4fXmnG
1.21393e+18,Report: Obama Thwarted Israeli Plan to Kill Soleimani in 2015 by Leaking Details to Iran - Breaking Israel News | Latest News. Biblical Perspective. https://t.co/vbeVQhKRHy
1.21639e+18,From India to Hungary to the US . . . Israel finds comfort with the most repressive and totalitarian regimes in the world. Its what it is.
1.21267e+18,"Israel starts the new year by demolishing a Palestinian house in Jerusalem this morning,

#HappyNew2020 #Palestine https://t.co/7mv4ZSmkBq"
1.2243e+18,Israel has played a key role in US aggression towards Iran https://t.co/j5SCa84TKU #Congress #NYC #Texas #Florida #California #London #Paris #Munich #Madrid #Canada #Ohio #Kentucky #Iowa #Tennessee #Arazona #Nevada #Iran #Iraq
1.21725e+18,"RT @marie_kate2: Anti-Semitism election row was stoked by Israel, Labour report says https://t.co/MruSWVgD2q via @Telegraph"
1.24644e+18,"@mutedlavender ISabelle
ISrael
really makes  you think"
1.21753e+18,"BREAKING:

Israel strikes terror targets in the Gaza Strip as a response to rockets fired this past week at civilian areas. 

#FreeGazaFromHamas https://t.co/msnIbtFmqB"
1.24153e+18,"@ipitydafool @ggreenwald israel funds and arms Hamas.

zionist Coward."
1.23352e+18,"The boycott movement (#BDS) against Israel is so obviously rooted in antisemitism. 

It is telling that nations such as Germany and Austria - who know exactly what antisemitic boycotts look like - wont tolerate it at all. 

They know what it is and where it leads."
1.24836e+18,"@Istanbultelaviv So ""Israel is expected to allow the shipment of aid to Palestinian authorities"", what should we understand from it? There is no official public explanation from both states yet. I have no trust that this could work out good for Palestinians in any way."
1.22906e+18,"You don't get to label anyone critical of Israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former Guido employees as ""something to be taken seriously"" and then be angry RLB took the only stance that wouldn't lead to mass condemnation"
1.24754e+18,Barghouti: Saving Our Own Asses More Important Than Boycotting Israel - https://t.co/suCfwjUKWj via @mideastbeasties
1.23951e+18,"Netanyahu makes special request to Prime Minister Narendra Modi: To help Israel fight Coronavirus Pandemic, India lifts ban on export of pharmaceuticals

https://t.co/RA5KGab3iN"
1.22439e+18,It s telling and crazy if you stand back to see pro-Netanyahu media in Israel warn a US president so far slavishly supportive of their agenda that he risks his US evangelical support by delaying acceptance of Israeli annexation of a chunk of the West Bank. https://t.co/MM8ksDKJ67
